BaseDateTime,MMSI,LAT,LON,SOG,Heading
546900,311000112.0,32.99933,-117.86383,2.5,150
546900,311821000.0,32.9995,-117.86337,2.5,149
546900,367017440.0,32.98265,-117.8364,3.3,147
546960,367017440.0,32.982145,-117.836125,3.35,146
546960,311821000.0,32.99914,-117.86315,2.45,149
546960,311000112.0,32.9985,-117.8635,2.5,150
547020,367017440.0,32.98164,-117.83585,3.4,146
547020,311821000.0,32.99878,-117.86293,2.4,149
547020,311000112.0,32.99783,-117.863,2.4,150
547080,367017440.0,32.98067,-117.8353,3.5,147
547080,311000112.0,32.99717,-117.86267,2.4,150
547080,311821000.0,32.99808,-117.8625,2.4,149
547140,311821000.0,32.99742,-117.8621,2.3,149
547140,311000112.0,32.996835,-117.86242,2.35,150
547140,367017440.0,32.97965,-117.83472,3.5,147
547200,367017440.0,32.97865,-117.83417,3.5,148
547200,311821000.0,32.99685,-117.86175,2.2,149
547200,311000112.0,32.9965,-117.86217,2.3,150
547260,367017440.0,32.97766,-117.83363,3.4,148
547260,311000112.0,32.99583,-117.86183,2.2,150
547260,311821000.0,32.99618,-117.86135,2.2,149
547320,311821000.0,32.99557,-117.86098,2.1,149
547320,367017440.0,32.97666,-117.83312,3.4,147
547320,311000112.0,32.99517,-117.86133,2.2,150
547380,367017440.0,32.976155000000006,-117.832845,3.4,146
547380,311821000.0,32.99493,-117.8606,2.1,149
547380,311000112.0,32.9945,-117.861,2.1,150
547440,311000112.0,32.994,-117.86067,2.1,150
547440,311821000.0,32.99463,-117.860425,2.1,149
547440,367017440.0,32.97565,-117.83257,3.4,146
547500,311821000.0,32.99433,-117.86025,2.1,149
547500,311000112.0,32.99333,-117.86033,2.0,150
547500,367017440.0,32.97466,-117.83202,3.1,146
547560,311821000.0,32.99373,-117.85988,2.0,149
547560,311000112.0,32.99308,-117.860165,2.0,150
547560,367017440.0,32.97366,-117.83146,3.3,147
547620,367017440.0,32.97266,-117.83096,3.4,147
547620,311821000.0,32.99313,-117.85953,2.0,149
547620,311000112.0,32.99283,-117.86,2.0,150
547680,311000112.0,32.99217,-117.85967,1.9,150
547680,367017440.0,32.97163,-117.83041,3.5,146
547680,311821000.0,32.99255,-117.8592,1.9,149
547740,311821000.0,32.99208,-117.85893,1.9,149
547740,311000112.0,32.99167,-117.85933,1.9,150
547740,367017440.0,32.97076,-117.82991,3.6,147
547800,311821000.0,32.99153,-117.85862,1.9,149
547800,367017440.0,32.96976,-117.82938,3.3,147
547800,311000112.0,32.991,-117.859,1.9,150
547860,367017440.0,32.96924,-117.82911,3.3,145
547860,311000112.0,32.9905,-117.85867,1.9,150
547860,311821000.0,32.99098,-117.8583,1.8,149
547920,367017440.0,32.96872,-117.82884,3.3,143
547920,311821000.0,32.990715,-117.85816,1.8,149
547920,311000112.0,32.99,-117.85833,1.8,150
547980,311821000.0,32.99045,-117.85802,1.8,149
547980,311000112.0,32.98975,-117.858165,1.75,150
547980,367017440.0,32.9678,-117.82819,3.5,137
548040,367017440.0,32.96685,-117.82732,3.4,134
548040,311000112.0,32.9895,-117.858,1.7,150
548040,311821000.0,32.98992,-117.85772,1.8,149
548100,367017440.0,32.96601,-117.82654,3.4,132
548100,311000112.0,32.989,-117.85783,1.7,150
548100,311821000.0,32.9894,-117.85743,1.7,149
548160,311000112.0,32.9885,-117.8575,1.8,150
548160,311821000.0,32.98888,-117.85715,1.7,149
548160,367017440.0,32.9653,-117.82584,1.9,130
548220,311821000.0,32.9884,-117.8569,1.7,149
548220,311000112.0,32.988,-117.85733,1.8,150
548220,367017440.0,32.96512,-117.8257,1.35,130
548280,367017440.0,32.96494,-117.82556,0.8,130
548280,311821000.0,32.98795,-117.85665,1.6,149
548280,311000112.0,32.9875,-117.857,1.6,150
548340,367017440.0,32.96473,-117.82547,0.6,138
548340,311000112.0,32.987,-117.85683,1.6,150
548340,311821000.0,32.987700000000004,-117.856515,1.55,149
548400,367017440.0,32.96456,-117.8255,0.5,146
548400,311821000.0,32.98745,-117.85638,1.5,149
548400,311000112.0,32.98667,-117.8565,1.5,150
548460,311821000.0,32.987,-117.85613,1.5,149
548460,367017440.0,32.96443,-117.82551,0.4,154
548460,311000112.0,32.986419999999995,-117.856415,1.5,150
548520,367017440.0,32.96432,-117.82555,0.5,162
548520,311000112.0,32.98617,-117.85633,1.5,150
