BaseDateTime,MMSI,LAT,LON,SOG,Heading
120,366685950.0,32.71533,-117.17381,0.0,121
120,367373970.0,32.71507,-117.17393,0.0,89
120,366987070.0,32.7149,-117.17395,1.9,105
180,366685950.0,32.71533,-117.17381,0.0,121
180,244128000.0,32.7184,-117.17536,2.2,93
180,366987070.0,32.71488,-117.17375,0.1,92
180,367373970.0,32.71508,-117.17395,0.1,89
240,366987070.0,32.71488,-117.17373,0.1,91
240,244128000.0,32.71853,-117.17637,2.9,89
240,367373970.0,32.71513,-117.17508,2.8,166
240,366685950.0,32.71532,-117.17381,0.0,122
300,244128000.0,32.71862,-117.17758,3.5,81
300,366987070.0,32.71488,-117.17372,0.0,98
300,367373970.0,32.71508,-117.17623,5.4,280
300,366685950.0,32.71533,-117.1738,0.0,122
360,367373970.0,32.71456,-117.17771,4.5,214
360,244128000.0,32.71858,-117.17894,3.5,65
360,366685950.0,32.71533,-117.17382,0.0,122
360,366987070.0,32.71488,-117.17371,0.0,97
420,366685950.0,32.715335,-117.17383,0.0,122
420,367373970.0,32.71291,-117.17696,5.3,213
420,244128000.0,32.71843,-117.18005,2.8,44
420,366987070.0,32.71487,-117.17372,0.0,98
480,366685950.0,32.71534,-117.17384,0.0,122
480,244128000.0,32.71824,-117.18085,1.8,21
480,367373970.0,32.71158,-117.17681,5.2,188
480,366987070.0,32.71487,-117.17372,0.0,98
540,366685950.0,32.71533,-117.17381,0.0,122
540,367373970.0,32.710825,-117.176425,5.35,188
540,366987070.0,32.71487,-117.17372,0.0,98
540,244128000.0,32.71821,-117.1814,1.5,357
600,244128000.0,32.718095,-117.181635,1.45,343
600,366987070.0,32.71487,-117.17371,0.0,98
600,367373970.0,32.71007,-117.17604,5.5,189
600,366685950.0,32.71533,-117.17379,0.1,122
660,366685950.0,32.71532,-117.17381,0.0,122
660,366987070.0,32.71487,-117.17373,0.0,98
660,244128000.0,32.71798,-117.18187,1.4,329
660,367373970.0,32.70835,-117.1749,5.3,194
720,366685950.0,32.71532,-117.17384,0.0,122
720,244128000.0,32.71772,-117.18224,1.3,300
720,366987070.0,32.71488,-117.17373,0.0,98
780,366987070.0,32.71487,-117.17373,0.0,98
780,366685950.0,32.71531,-117.17383,0.0,122
780,244128000.0,32.71755,-117.18264,1.6,278
3900,366685950.0,32.70914,-117.17475,10.9,223
3900,367373970.0,32.71507,-117.17672,4.2,248
3900,367373960.0,32.71532,-117.17489,1.3,61
3960,367373960.0,32.71532,-117.17571,6.1,221
3960,367373970.0,32.71372,-117.17732,5.0,207
3960,366685950.0,32.71128,-117.17713,9.2,223
4020,367373970.0,32.71216,-117.17682,5.4,204
