BaseDateTime,MMSI,LAT,LON,SOG,Heading
6000,538004441.0,33.63995,-118.23844,9.5,255
6000,311000138.0,33.69884333333333,-118.21519,0.1,281
6000,354277000.0,33.6552,-118.20118,12.4,200
6060,311000138.0,33.69879666666667,-118.21521,0.1,282
6060,538004441.0,33.63904,-118.24141,9.5,257
6060,354277000.0,33.65127,-118.20248,12.5,200
6120,538004441.0,33.63819,-118.24445,9.4,263
6120,311000138.0,33.69875,-118.21523,0.1,284
6120,354277000.0,33.64738,-118.20381,12.5,201
6180,354277000.0,33.64351,-118.20514,12.3,200
6180,311000138.0,33.69869666666666,-118.21524333333332,0.1333333333333333,286
6180,538004441.0,33.63753,-118.24794,9.3,268
6240,538004441.0,33.63718,-118.2515,9.2,270
6240,311000138.0,33.69864333333334,-118.21525666666668,0.1666666666666666,288
6240,354277000.0,33.641635,-118.205775,12.2,199
6300,354277000.0,33.63976,-118.20641,12.1,199
6300,538004441.0,33.63696,-118.25507,9.2,270
6300,311000138.0,33.69859,-118.21527,0.2,291
6360,354277000.0,33.6359,-118.2076,12.0,198
6360,538004441.0,33.63685,-118.256835,9.2,270
6360,311000138.0,33.69855666666667,-118.21526666666666,0.1666666666666666,292
6420,311000138.0,33.698523333333334,-118.21526333333334,0.1333333333333333,294
6420,354277000.0,33.63225,-118.2087,11.9,198
6420,538004441.0,33.63674,-118.2586,9.2,270
6480,354277000.0,33.62898,-118.20969,11.9,199
6480,311000138.0,33.69849,-118.21526,0.1,296
6480,538004441.0,33.63654,-118.26225,9.3,271
6540,311000138.0,33.698483333333336,-118.21525,0.1,297
6540,538004441.0,33.63638,-118.26585,9.2,271
6540,354277000.0,33.62511,-118.21082,11.9,198
6600,311000138.0,33.698476666666664,-118.21524,0.1,298
6600,538004441.0,33.63625,-118.26945,9.3,271
6600,354277000.0,33.62144,-118.2119,12.0,198
6660,538004441.0,33.63613,-118.27256,9.2,271
6660,311000138.0,33.69847,-118.21523,0.1,299
6660,354277000.0,33.61761,-118.21306,12.0,198
6720,311000138.0,33.698503333333335,-118.21523,0.1,298
6720,538004441.0,33.63599,-118.27605,9.2,271
6720,354277000.0,33.615685,-118.213635,12.05,198
6780,354277000.0,33.61376,-118.21421,12.1,198
6780,538004441.0,33.63588,-118.27963,9.2,272
6780,311000138.0,33.69853666666666,-118.21523,0.1,297
6840,311000138.0,33.69857,-118.21523,0.1,296
6840,538004441.0,33.63584,-118.281495,9.2,272
6840,354277000.0,33.61006,-118.21527,12.1,196
6900,354277000.0,33.60619,-118.21612,12.1,192
