BaseDateTime,MMSI,LAT,LON,SOG,Heading
118080,311000111.0,33.09017,-117.8995,5.9,140
118080,367017440.0,33.08696,-117.8828,3.0,143
118080,311821000.0,33.08855,-117.895105,4.45,140
118140,367017440.0,33.0863,-117.88196,3.0,141
118140,311000111.0,33.08883,-117.898,5.8,140
118140,311821000.0,33.088,-117.89453,4.5,140
118200,367017440.0,33.08556,-117.88085,4.1,134
118200,311000111.0,33.0875,-117.8965,5.7,141
118200,311821000.0,33.0869,-117.89337,4.5,141
118260,367017440.0,33.08472,-117.87954,4.4,138
118260,311821000.0,33.08543,-117.89187,4.5,140
118260,311000111.0,33.08617,-117.895,5.8,142
118320,311000111.0,33.08542,-117.89425,5.949999999999999,142
118320,311821000.0,33.0843,-117.89067,4.6,140
118320,367017440.0,33.08389,-117.87851,4.4,141
118380,311821000.0,33.083715,-117.89006,4.6,140
118380,367017440.0,33.08295,-117.8773,4.4,142
118380,311000111.0,33.08467,-117.8935,6.1,142
118440,311000111.0,33.08317,-117.892,5.8,142
118440,311821000.0,33.08313,-117.88945,4.6,140
118440,367017440.0,33.08198,-117.8761,4.4,142
118500,367017440.0,33.081485,-117.87554,4.300000000000001,142
118500,311000111.0,33.0815,-117.89033,5.5,142
118500,311821000.0,33.082,-117.88828,4.6,140
118560,311000111.0,33.08017,-117.889,5.6,142
118560,311821000.0,33.08085,-117.8871,4.7,140
118560,367017440.0,33.08099,-117.87498,4.2,142
118620,311000111.0,33.07883,-117.88767,5.2,142
118620,311821000.0,33.07963,-117.88585,4.7,140
118620,367017440.0,33.08,-117.87382,4.4,141
118680,311000111.0,33.07825,-117.887085,5.0,141
118680,367017440.0,33.07903,-117.87259,4.6,142
118680,311821000.0,33.07848,-117.88465,4.7,140
118740,367017440.0,33.07809,-117.87143,4.0,143
118740,311821000.0,33.07747,-117.88357,4.8,140
118740,311000111.0,33.07767,-117.8865,4.8,140
118800,311000111.0,33.0765,-117.88517,4.9,138
118800,367017440.0,33.07711,-117.87028,4.2,143
118800,311821000.0,33.0763,-117.88235,4.8,140
118860,367017440.0,33.07616,-117.8692,4.4,144
118860,311000111.0,33.07517,-117.88383,5.7,138
118860,311821000.0,33.075725000000006,-117.881735,4.8,140
118920,367017440.0,33.07564,-117.868625,4.4,144
118920,311821000.0,33.07515,-117.88112,4.8,140
118920,311000111.0,33.07383,-117.88233,5.5,138
118980,311821000.0,33.07398,-117.87992,4.8,140
118980,367017440.0,33.07512,-117.86805,4.4,144
118980,311000111.0,33.07267,-117.88083,5.4,138
119040,311000111.0,33.07133,-117.87933,5.2,138
119040,311821000.0,33.07277,-117.87865,4.8,140
119040,367017440.0,33.07413,-117.86693,4.5,144
119100,367017440.0,33.07312,-117.8658,4.4,145
119100,311000111.0,33.070750000000004,-117.878665,5.15,138
119100,311821000.0,33.0716,-117.87743,4.9,140
119160,311000111.0,33.07017,-117.878,5.1,138
