BaseDateTime,MMSI,LAT,LON,SOG,Heading
124560,367017440.0,32.9866,-117.7658,3.4,143
124560,311821000.0,32.99062,-117.7993,2.5,150
124560,311000111.0,32.99017,-117.79967,2.5,150
124620,311000111.0,32.98933,-117.79917,2.5,150
124620,311821000.0,32.99027,-117.79905,2.5,150
124620,367017440.0,32.98582,-117.76484,3.4,141
124680,367017440.0,32.985429999999994,-117.76435,3.4,141
124680,311000111.0,32.98867,-117.79867,2.4,150
124680,311821000.0,32.98958,-117.79853,2.5,150
124740,311821000.0,32.98887,-117.798,2.4,150
124740,367017440.0,32.98504,-117.76386,3.4,142
124740,311000111.0,32.988,-117.79817,2.5,150
124800,311821000.0,32.98822,-117.79752,2.4,150
124800,311000111.0,32.987665,-117.79792,2.5,150
124800,367017440.0,32.98431,-117.76295,2.6,151
124860,367017440.0,32.98397,-117.76254,1.3,166
124860,311821000.0,32.98753,-117.79702,2.4,151
124860,311000111.0,32.98733,-117.79767,2.5,151
124920,311000111.0,32.98667,-117.79717,2.4,151
124920,367017440.0,32.98384,-117.76226,0.4,184
124920,311821000.0,32.987165000000005,-117.796725,2.35,151
124980,311000111.0,32.98617,-117.79667,2.3,152
124980,367017440.0,32.98378,-117.76202,0.4,192
124980,311821000.0,32.9868,-117.79643,2.3,151
125040,311821000.0,32.98618,-117.79593,2.3,152
125040,367017440.0,32.98374,-117.76171,0.6,192
125040,311000111.0,32.9855,-117.79617,2.3,152
125100,311821000.0,32.98555,-117.79545,2.2,153
125100,311000111.0,32.98483,-117.79567,2.3,153
125100,367017440.0,32.98373,-117.76135,0.8,187
125160,311821000.0,32.98492,-117.79497,2.2,153
125160,367017440.0,32.983745,-117.76119,0.7,186
125160,311000111.0,32.98417,-117.79533,2.2,153
125220,311821000.0,32.98432,-117.79452,2.2,154
125220,367017440.0,32.98376,-117.76103,0.6,186
125220,311000111.0,32.98392,-117.79508,2.2,153
125280,311000111.0,32.98367,-117.79483,2.2,153
125280,367017440.0,32.98378,-117.76078,0.2,183
125280,311821000.0,32.98378,-117.79415,2.1,154
125340,367017440.0,32.9838,-117.76044,1.1,182
125340,311821000.0,32.98318,-117.79375,2.1,153
125340,311000111.0,32.983,-117.79433,2.2,153
125400,311000111.0,32.9825,-117.794,2.1,153
125400,311821000.0,32.98268,-117.79342,2.0,152
125400,367017440.0,32.98376,-117.76009,1.8,168
125460,367017440.0,32.98333,-117.75945,3.0,119
125460,311821000.0,32.9824,-117.793225,2.0,151
125460,311000111.0,32.98183,-117.79367,2.1,152
125520,311821000.0,32.98212,-117.79303,2.0,151
125520,311000111.0,32.98117,-117.79317,2.1,151
125520,367017440.0,32.98291,-117.75841,3.5,128
125580,311000111.0,32.98067,-117.79283,2.1,149
125580,367017440.0,32.98221,-117.75736,3.3,140
125580,311821000.0,32.98153,-117.79267,2.0,150
125640,311821000.0,32.98098,-117.79227,2.0,149
125640,311000111.0,32.98042,-117.79258,2.05,149
125640,367017440.0,32.98141,-117.75644,3.5,145
125700,311821000.0,32.98045,-117.79183,2.0,149
125700,311000111.0,32.98017,-117.79233,2.0,149
125700,367017440.0,32.9806,-117.75559,3.3,145
125760,311000111.0,32.97967,-117.792,2.0,149
125760,311821000.0,32.97992,-117.79138,1.9,149
125760,367017440.0,32.980185000000006,-117.75515,3.45,146
125820,367017440.0,32.97977,-117.75471,3.6,147
125820,311000111.0,32.979,-117.7915,2.0,150
125820,311821000.0,32.9794,-117.79093,1.9,150
125880,311000111.0,32.9785,-117.79117,1.9,150
125880,367017440.0,32.97891,-117.75385,3.2,146
125880,311821000.0,32.97895,-117.79057,1.9,150
125940,367017440.0,32.9782,-117.75311,3.5,145
125940,311821000.0,32.97869,-117.79037,1.9,150
125940,311000111.0,32.978,-117.79067,1.9,150
126000,311821000.0,32.97843,-117.79017,1.9,150
126000,311000111.0,32.97775,-117.79042,1.85,150
126000,367017440.0,32.97734,-117.75224,3.3,147
126060,311000111.0,32.9775,-117.79017,1.8,150
126060,367017440.0,32.9765,-117.7514,3.5,147
126060,311821000.0,32.97793,-117.78975,1.9,150
126120,311000111.0,32.977,-117.78983,1.9,150
126120,311821000.0,32.97742,-117.78933,1.8,150
126120,367017440.0,32.97577,-117.75072,3.3,147
126180,311821000.0,32.97692,-117.78893,1.9,150
126180,311000111.0,32.9765,-117.78933,1.9,150
126180,367017440.0,32.97494,-117.74983,3.1,145
126240,311821000.0,32.9764,-117.78852,1.8,150
126240,311000111.0,32.976,-117.789,1.9,150
126240,367017440.0,32.97414,-117.74898,3.1,146
126300,311000111.0,32.9755,-117.7885,1.8,150
126300,367017440.0,32.973749999999995,-117.748575,2.95,147
126300,311821000.0,32.9759,-117.78812,1.8,150
126360,367017440.0,32.97336,-117.74817,2.8,148
126360,311000111.0,32.975,-117.78817,1.8,150
126360,311821000.0,32.975665000000006,-117.78792,1.8,150
126420,367017440.0,32.97291,-117.74771,1.3,162
126420,311821000.0,32.97543,-117.78772,1.8,150
126420,311000111.0,32.97475,-117.788,1.8,150
126480,367017440.0,32.97269,-117.74744,1.7,178
126480,311821000.0,32.97495,-117.78732,1.8,150
126480,311000111.0,32.9745,-117.78783,1.8,150
126540,311000111.0,32.974,-117.78733,1.8,150
126540,311821000.0,32.97445,-117.78693,1.8,150
126540,367017440.0,32.97259,-117.74723,1.2,195
126600,311821000.0,32.97398,-117.78653,1.7,150
126600,311000111.0,32.9735,-117.787,1.8,150
126600,367017440.0,32.97253,-117.747,0.7,203
126660,367017440.0,32.97246,-117.74675,1.2,198
126660,311000111.0,32.973,-117.78667,1.7,150
126660,311821000.0,32.9735,-117.78615,1.7,150
126720,367017440.0,32.97244,-117.7466,1.15,193
126720,311821000.0,32.97302,-117.78577,1.7,150
126720,311000111.0,32.9725,-117.78617,1.8,150
126780,311000111.0,32.972,-117.78583,1.7,150
126780,311821000.0,32.972795,-117.785585,1.7,150
126780,367017440.0,32.97242,-117.74645,1.1,188
126840,311821000.0,32.97257,-117.7854,1.7,150
126840,311000111.0,32.971835,-117.785665,1.7,150
126840,367017440.0,32.9724,-117.74619,0.5,184
126900,311821000.0,32.97208,-117.78503,1.7,150
126900,367017440.0,32.97245,-117.74587,0.8,181
126900,311000111.0,32.97167,-117.7855,1.7,150
126960,311821000.0,32.97162,-117.78467,1.7,150
126960,311000111.0,32.97117,-117.78517,1.7,150
126960,367017440.0,32.97198,-117.74576,2.4,190
127020,311000111.0,32.97067,-117.78467,1.7,150
127020,311821000.0,32.9712,-117.78435,1.7,150
127020,367017440.0,32.97109,-117.74573,2.6,188
127080,367017440.0,32.97022,-117.74572,2.7,188
127080,311821000.0,32.97075,-117.784,1.6,150
127080,311000111.0,32.97017,-117.78433,1.7,150
127140,311000111.0,32.96983,-117.784,1.7,150
127140,367017440.0,32.969755,-117.7457,2.9000000000000004,186
127140,311821000.0,32.9703,-117.78363,1.6,150
127200,367017440.0,32.96929,-117.74568,3.1,184
127200,311000111.0,32.96933,-117.78367,1.6,150
127200,311821000.0,32.96985,-117.78328,1.6,150
127260,367017440.0,32.96834,-117.74555,3.2,182
127260,311821000.0,32.969625,-117.783105,1.6,150
127260,311000111.0,32.969,-117.78333,1.6,150
127320,367017440.0,32.9672,-117.74545,3.2,185
127320,311000111.0,32.96875,-117.783165,1.6,150
127320,311821000.0,32.9694,-117.78293,1.6,150
127380,311000111.0,32.9685,-117.783,1.6,150
127380,367017440.0,32.96619,-117.74537,3.3,184
127380,311821000.0,32.96897,-117.78258,1.6,150
127440,367017440.0,32.96536,-117.74524,3.3,183
127440,311000111.0,32.968,-117.78267,1.6,150
127440,311821000.0,32.96852,-117.78222,1.6,150
127500,311000111.0,32.96767,-117.78233,1.6,150
127500,367017440.0,32.96439,-117.74516,3.3,187
127500,311821000.0,32.9681,-117.78187,1.5,150
127560,311000111.0,32.96717,-117.782,1.6,150
127560,367017440.0,32.963875,-117.74515,3.4,187
127560,311821000.0,32.96767,-117.78152,1.5,150
