BaseDateTime,MMSI,LAT,LON,SOG,Heading
228180,367353080.0,32.65492,-117.22632,8.3,354
228180,366888800.0,32.65484,-117.22599,8.3,353
228240,367353080.0,32.65625,-117.2265,8.350000000000001,353
228240,366764730.0,32.65622,-117.22643,8.4,174
228240,366888800.0,32.65737,-117.22637,8.4,353
228300,366888800.0,32.65924,-117.22667,8.15,354
228300,367353080.0,32.65758,-117.22668,8.4,352
228300,366764730.0,32.65842,-117.22686,7.0,165
228360,366888800.0,32.66111,-117.22697,7.9,355
228360,366764730.0,32.6606,-117.22719,7.6,179
228360,367353080.0,32.66018,-117.22717,8.0,355
228420,366764730.0,32.66302,-117.22766,7.3,178
228420,366888800.0,32.66392,-117.22743,7.4,352
228420,367353080.0,32.66273,-117.22755,7.5,353
228480,366764730.0,32.664105000000006,-117.22785,7.15,178
228480,367353080.0,32.66505,-117.22798,7.0,355
228480,366888800.0,32.66622,-117.22785,7.0,354
228540,366764730.0,32.66519,-117.22804,7.0,178
228540,367353080.0,32.6673,-117.2283,6.7,356
228540,366888800.0,32.66841,-117.22813,6.7,354
228600,366764730.0,32.66716,-117.22835,6.5,183
228600,366888800.0,32.669475000000006,-117.22825,6.550000000000001,353
228600,367353080.0,32.66937,-117.22857,6.4,356
228660,367353080.0,32.670410000000004,-117.228675,6.300000000000001,356
228660,366764730.0,32.66924,-117.2285,6.5,184
228660,366888800.0,32.67054,-117.22837,6.4,353
228720,366764730.0,32.67117,-117.22872,6.3,177
228720,367353080.0,32.67145,-117.22878,6.2,356
228720,366888800.0,32.67287,-117.22862,6.2,354
228780,366888800.0,32.67486,-117.22888,6.1,351
228780,367353080.0,32.67343,-117.22898,6.1,354
228780,366764730.0,32.67303,-117.22888,6.0,178
228840,366888800.0,32.67679,-117.22919,6.0,350
228840,366764730.0,32.67499,-117.22915,5.5,176
228840,367353080.0,32.6754,-117.22927,6.0,353
228900,366888800.0,32.67787,-117.229345,5.95,349
228900,366764730.0,32.67706,-117.22952,6.2,179
228900,367353080.0,32.67705,-117.22952,5.9,354
228960,367353080.0,32.67895,-117.2298,5.8,354
228960,366764730.0,32.67885,-117.22969,6.2,174
228960,366888800.0,32.67895,-117.2295,5.9,349
229020,366764730.0,32.68051,-117.22994,5.3,179
229020,367353080.0,32.68083,-117.23007,5.8,353
229020,366888800.0,32.68085,-117.22979,5.8,349
229080,366888800.0,32.6827,-117.23007,5.8,348
229080,367353080.0,32.68267,-117.23035,5.7,353
229080,366764730.0,32.6822,-117.23025,6.3,174
229140,366764730.0,32.682995000000005,-117.23033,6.15,167
229140,367353080.0,32.683620000000005,-117.23046,5.7,352
229140,366888800.0,32.68457,-117.23033,5.7,347
229200,366764730.0,32.68379,-117.23041,6.0,161
229200,367353080.0,32.68457,-117.23057,5.7,352
229200,366888800.0,32.68639,-117.23066,5.6,342
229260,366764730.0,32.68555,-117.23077,5.9,170
229260,366888800.0,32.68817,-117.2311,5.4,336
229260,367353080.0,32.68635,-117.2308,5.5,348
229320,367353080.0,32.68808,-117.2312,5.2,343
229320,366764730.0,32.68728,-117.231,5.9,169
229320,366888800.0,32.688965,-117.231385,5.2,332
229380,366888800.0,32.68976,-117.23167,5.0,328
229380,366764730.0,32.68879,-117.23136,5.0,146
229380,367353080.0,32.68967,-117.23173,4.8,339
229440,366764730.0,32.69011,-117.23198,4.6,158
229440,367353080.0,32.6909,-117.2323,4.6,339
229440,366888800.0,32.6912,-117.23232,4.7,325
229500,367353080.0,32.69218,-117.23297,4.4,340
229500,366888800.0,32.6926,-117.23295,4.4,325
229500,366764730.0,32.69161,-117.23268,4.3,162
317580,369140000.0,32.68742,-117.23071,7.9,173
317580,367006770.0,32.68038,-117.23028,9.7,173
317580,369970764.0,32.68724,-117.23293,6.9,38
317640,369140000.0,32.68489,-117.23034,7.8,173
317640,369970764.0,32.68943,-117.23245,7.7,7
317640,367006770.0,32.67881,-117.230095,9.7,173
317700,369140000.0,32.68346,-117.23013,7.85,173
317700,367006770.0,32.67724,-117.22991,9.7,174
317700,369970764.0,32.692,-117.23212,7.7,12
317760,369140000.0,32.68203,-117.22992,7.9,174
317760,369970764.0,32.693145,-117.23158,7.7,16
317760,367006770.0,32.6741,-117.22943,9.9,173
317820,369140000.0,32.67941,-117.2296,7.9,175
317820,367006770.0,32.67081,-117.229,10.0,173
317820,369970764.0,32.69429,-117.23104,7.7,20
317880,367006770.0,32.66764,-117.22855,9.9,174
317880,369140000.0,32.67688,-117.22931,7.9,175
317880,369970764.0,32.69666,-117.23022,7.8,11
317940,367006770.0,32.66442,-117.22819,10.2,174
317940,369970764.0,32.6992,-117.23015,7.8,359
317940,369140000.0,32.67433,-117.229,8.0,175
318600,366764730.0,32.69641,-117.23259,4.0,331
318600,367006770.0,32.6364,-117.23432,10.2,201
318600,369140000.0,32.64922,-117.22631,10.0,203
318600,367353080.0,32.69675,-117.23247,4.1,167
318600,366888800.0,32.69626,-117.23279,3.5,158
318660,366764730.0,32.69509,-117.23214,4.4,343
318660,366888800.0,32.69505,-117.23226,4.3,166
318660,367353080.0,32.69547,-117.23197,4.3,174
318660,369140000.0,32.64642,-117.22789,10.5,208
318660,367006770.0,32.63343,-117.23586,10.2,202
318720,367006770.0,32.63032,-117.23751,10.2,206
318720,366888800.0,32.6936,-117.23189,5.2,171
318720,369140000.0,32.64378,-117.22957,10.7,207
318720,367353080.0,32.69397,-117.23165,4.8,175
318720,366764730.0,32.69435,-117.232015,4.65,334
318780,369140000.0,32.64073,-117.23145,10.7,207
318780,367353080.0,32.693175,-117.231485,5.05,175
318780,366764730.0,32.69361,-117.23189,4.9,325
318780,366888800.0,32.69226,-117.23168,4.9,179
318780,367006770.0,32.62737,-117.23919,10.2,203
318840,366764730.0,32.69227,-117.2318,7.3,185
318840,367006770.0,32.62455,-117.24121,10.2,212
318840,367353080.0,32.69238,-117.23132,5.3,176
318840,366888800.0,32.6907,-117.23168,5.9,176
318840,369140000.0,32.63759,-117.23337,10.7,207
318900,367006770.0,32.62205,-117.24325,10.1,235
318900,367353080.0,32.6904,-117.23098,6.7,176
318900,366888800.0,32.68895,-117.23162,5.9,175
318900,369140000.0,32.63447,-117.23527,10.8,207
318900,366764730.0,32.69047,-117.23154,6.4,179
318960,366764730.0,32.6887,-117.23138,5.4,156
318960,367006770.0,32.62069,-117.24628,10.0,267
318960,369140000.0,32.63185,-117.23689,10.8,207
318960,366888800.0,32.68672,-117.2315,7.5,175
318960,367353080.0,32.68812,-117.2307,7.7,176
319020,366764730.0,32.68633,-117.23033,10.2,174
319020,367353080.0,32.68557,-117.2304,7.7,176
319020,366888800.0,32.68432,-117.23133,7.5,175
319020,367006770.0,32.62192,-117.24944,10.3,316
319020,369140000.0,32.62875,-117.23882,10.8,207
319080,369140000.0,32.62697,-117.239915,10.8,207
319080,367353080.0,32.683,-117.2302,7.6,176
319080,367006770.0,32.62322,-117.250705,10.3,318
319080,366764730.0,32.68382,-117.22994,6.9,176
319080,366888800.0,32.683095,-117.23118,7.55,176
319140,369140000.0,32.62519,-117.24101,10.8,207
319140,367353080.0,32.68048,-117.2299,7.6,176
319140,366888800.0,32.68187,-117.23103,7.6,177
319140,366764730.0,32.68154,-117.22967,6.9,175
319140,367006770.0,32.62452,-117.25197,10.3,320
319200,369140000.0,32.622,-117.24297,10.8,209
319200,367353080.0,32.679255,-117.22975,7.65,176
319200,366888800.0,32.67962,-117.23076,7.5,168
319200,367006770.0,32.62711,-117.25442,10.3,323
319200,366764730.0,32.67916,-117.22938,8.3,174
319260,367006770.0,32.62967,-117.25695,10.3,321
319260,366764730.0,32.67684,-117.22906,8.0,166
